SN,Nama_Barang,Kode_Gudang,Deskripsi
ZTEGDD2B1636,ont zte,DN/TRF-EMR/26/02132,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDD2B1539,ont zte,DN/TRF-EMR/26/02132,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDD2B1503,ont zte,DN/TRF-EMR/26/02132,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDD2B16D2,ont zte,DN/TRF-EMR/26/02132,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDD2B1528,ont zte,DN/TRF-EMR/26/02132,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDD2B15C4,ont zte,DN/TRF-EMR/26/02132,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDD2AFC41,ont zte,DN/TRF-EMR/26/02132,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDD2B14DD,ont zte,DN/TRF-EMR/26/02132,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDD2B1510,ont zte,DN/TRF-EMR/26/02132,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDD2B16A8,ont zte,DN/TRF-EMR/26/02132,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDD2B159B,ont zte,DN/TRF-EMR/26/02132,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDD2B1501,ont zte,DN/TRF-EMR/26/02132,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDD2B14FA,ont zte,DN/TRF-EMR/26/02132,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDD2B150B,ont zte,DN/TRF-EMR/26/02132,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDD2B14DE,ont zte,DN/TRF-EMR/26/02132,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDD2B14E0,ont zte,DN/TRF-EMR/26/02132,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDD2B14CF,ont zte,DN/TRF-EMR/26/02132,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDD2B1518,ont zte,DN/TRF-EMR/26/02132,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDD2B14FD,ont zte,DN/TRF-EMR/26/02132,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDD2B15E8,ont zte,DN/TRF-EMR/26/02132,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDD2AFDEF,ont zte,DN/TRF-EMR/26/02132,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDD2AFE1E,ont zte,DN/TRF-EMR/26/02132,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDD2AFE25,ont zte,DN/TRF-EMR/26/02132,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDD2AFDE4,ont zte,DN/TRF-EMR/26/02132,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDD2AFE07,ont zte,DN/TRF-EMR/26/02132,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDD2AFDF0,ont zte,DN/TRF-EMR/26/02132,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDD2AFE78,ont zte,DN/TRF-EMR/26/02132,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDD2AFE2E,ont zte,DN/TRF-EMR/26/02132,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDD2AF856,ont zte,DN/TRF-EMR/26/02132,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDD2AFE83,ont zte,DN/TRF-EMR/26/02132,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDD2B0002,ont zte,DN/TRF-EMR/26/02132,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDD2AFE0B,ont zte,DN/TRF-EMR/26/02132,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDD2AFE36,ont zte,DN/TRF-EMR/26/02132,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDD2AFE95,ont zte,DN/TRF-EMR/26/02132,ZTE-ONT ZXHN-F672Y (DUAL BAND)
ZTEGDD2AF84E,ont zte,DN/TRF-EMR/26/02132,ZTE-ONT ZXHN-F672Y (DUAL BAND)
